"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2024","1.3124","1.3262","1.3265","1.3092","","-1.08%"
"10/02/2024","1.3267","1.3285","1.3307","1.3245","","-0.14%"
"10/01/2024","1.3285","1.3375","1.3391","1.3236","","-0.64%"
"09/30/2024","1.3370","1.3369","1.3425","1.3349","","-0.02%"
"09/27/2024","1.3373","1.3415","1.3429","1.3359","","-0.31%"
"09/26/2024","1.3415","1.3324","1.3436","1.3311","","0.69%"
"09/25/2024","1.3323","1.3413","1.3431","1.3311","","-0.66%"
"09/24/2024","1.3412","1.3347","1.3418","1.3331","","0.49%"
"09/23/2024","1.3346","1.3320","1.3361","1.3247","","0.19%"
"09/20/2024","1.3321","1.3284","1.3342","1.3267","","0.28%"
"09/19/2024","1.3284","1.3213","1.3316","1.3152","","0.54%"
"09/18/2024","1.3212","1.3161","1.3299","1.3155","","0.40%"
"09/17/2024","1.3160","1.3216","1.3231","1.3145","","-0.42%"
"09/16/2024","1.3216","1.3124","1.3220","1.3120","","0.72%"
"09/13/2024","1.3122","1.3125","1.3159","1.3113","","-0.01%"
"09/12/2024","1.3123","1.3046","1.3129","1.3031","","0.61%"
"09/11/2024","1.3043","1.3080","1.3113","1.3001","","-0.28%"
"09/10/2024","1.3079","1.3074","1.3109","1.3048","","0.05%"
"09/09/2024","1.3072","1.3118","1.3145","1.3067","","-0.39%"
"09/06/2024","1.3123","1.3178","1.3240","1.3109","","-0.39%"
"09/05/2024","1.3175","1.3147","1.3187","1.3136","","0.25%"
"09/04/2024","1.3142","1.3113","1.3176","1.3099","","0.24%"
"09/03/2024","1.3111","1.3151","1.3151","1.3086","","-0.29%"
"09/02/2024","1.3149","1.3122","1.3157","1.3119","","0.18%"
"08/30/2024","1.3126","1.3166","1.3201","1.3108","","-0.32%"
"08/29/2024","1.3168","1.3191","1.3229","1.3144","","-0.17%"
"08/28/2024","1.3190","1.3259","1.3264","1.3167","","-0.49%"
"08/27/2024","1.3255","1.3190","1.3268","1.3179","","0.49%"
"08/26/2024","1.3190","1.3214","1.3226","1.3179","","-0.14%"
"08/23/2024","1.3209","1.3090","1.3232","1.3085","","0.92%"
"08/22/2024","1.3088","1.3093","1.3131","1.3075","","-0.03%"
"08/21/2024","1.3092","1.3033","1.3121","1.3010","","0.48%"
"08/20/2024","1.3029","1.2995","1.3054","1.2973","","0.32%"
"08/19/2024","1.2988","1.2936","1.2998","1.2932","","0.34%"
"08/16/2024","1.2944","1.2854","1.2947","1.2851","","0.72%"
"08/15/2024","1.2851","1.2827","1.2873","1.2798","","0.20%"
"08/14/2024","1.2825","1.2862","1.2870","1.2819","","-0.25%"
"08/13/2024","1.2857","1.2766","1.2874","1.2760","","0.73%"
"08/12/2024","1.2764","1.2757","1.2795","1.2746","","0.04%"
"08/09/2024","1.2759","1.2749","1.2775","1.2725","","0.09%"
"08/08/2024","1.2747","1.2691","1.2754","1.2664","","0.44%"
"08/07/2024","1.2691","1.2691","1.2737","1.2680","","0.02%"
"08/06/2024","1.2689","1.2778","1.2805","1.2672","","-0.66%"
"08/05/2024","1.2773","1.2808","1.2818","1.2708","","-0.20%"
"08/02/2024","1.2798","1.2749","1.2841","1.2706","","0.46%"
"08/01/2024","1.2739","1.2857","1.2865","1.2726","","-0.91%"
"07/31/2024","1.2856","1.2836","1.2866","1.2820","","0.17%"
"07/30/2024","1.2834","1.2862","1.2868","1.2819","","-0.19%"
"07/29/2024","1.2859","1.2874","1.2890","1.2805","","-0.10%"
"07/26/2024","1.2872","1.2852","1.2880","1.2849","","0.16%"
"07/25/2024","1.2851","1.2907","1.2917","1.2849","","-0.43%"
"07/24/2024","1.2906","1.2907","1.2939","1.2876","","0.01%"
"07/23/2024","1.2905","1.2934","1.2937","1.2887","","-0.21%"
"07/22/2024","1.2932","1.2912","1.2944","1.2904","","0.10%"
"07/19/2024","1.2919","1.2944","1.2955","1.2900","","-0.17%"
"07/18/2024","1.2941","1.3010","1.3015","1.2939","","-0.52%"
"07/17/2024","1.3008","1.2973","1.3046","1.2965","","0.33%"
"07/16/2024","1.2965","1.2967","1.2981","1.2937","","-0.01%"
"07/15/2024","1.2966","1.2994","1.2996","1.2959","","-0.20%"
"07/12/2024","1.2992","1.2911","1.2995","1.2901","","0.64%"
"07/11/2024","1.2909","1.2849","1.2950","1.2846","","0.50%"
"07/10/2024","1.2845","1.2787","1.2851","1.2782","","0.49%"
"07/09/2024","1.2783","1.2810","1.2827","1.2777","","-0.16%"
"07/08/2024","1.2804","1.2789","1.2847","1.2788","","-0.03%"
"07/05/2024","1.2808","1.2760","1.2819","1.2753","","0.40%"
"07/04/2024","1.2757","1.2742","1.2769","1.2740","","0.13%"
"07/03/2024","1.2740","1.2677","1.2779","1.2673","","0.44%"
"07/02/2024","1.2684","1.2647","1.2689","1.2614","","0.29%"
"07/01/2024","1.2647","1.2644","1.2710","1.2632","","0.04%"
"06/28/2024","1.2642","1.2639","1.2665","1.2619","","0.03%"
"06/27/2024","1.2638","1.2625","1.2672","1.2612","","0.14%"
"06/26/2024","1.2620","1.2686","1.2695","1.2614","","-0.50%"
